长度	短句	频率	英文
3	少阳也	194	
3	少阳病	119	
3	少师曰	202	
3	少腹痛	277	
3	少腹满	368	
3	芍药汤	140	
3	稍热服	602	
3	烧作灰	169	
3	烧为灰	165	
3	烧存性	979	
3	上一味	1901	
3	上研匀	217	
3	上研细	138	
3	上细切	650	
3	上细末	357	
3	上细锉	447	
3	上五味	2501	
3	上为细	141	
3	上为散	2018	
3	上为末	14281	
3	上四味	2895	
3	上水煎	218	
3	上十味	365	
3	上三味	2963	
3	上七味	2197	
3	上末之	170	
3	上六味	2077	
3	上九味	1407	
3	上件药	12562	
3	上件捣	260	
3	上和匀	136	
3	上二味	2897	
3	上等分	510	
3	上捣筛	414	
3	上锉细	202	
3	上锉碎	377	
3	上锉散	1212	
3	上锉剂	162	
3	上粗末	101	
3	上八味	1694	
3	上咀	254	
3	商陆根	120	
3	伤寒门	175	
3	伤寒论	6259	
3	善太息	258	
3	膻中者	129	
3	山茱萸	2330	
3	山栀子	796	
3	山栀仁	389	
3	山楂肉	298	
3	山萸肉	516	
3	山茵陈	106	
3	山海经	164	
3	山豆根	409	
3	晒干用	187	
3	莎草根	118	
3	沙苑子	146	
3	杀三虫	281	
3	杀蛊毒	103	
3	僧深方	168	
3	色纯青	118	
3	色不变	131	
3	色白者	102	
3	桑螵蛸	888	
3	桑寄生	1016	
3	桑白皮	2872	
3	散一钱	106	
3	散舌下	120	
3	散结气	109	
3	三之气	355	
3	三月采	136	
3	三阴交	367	
3	三因方	337	
3	三阳者	104	
3	三十一	132	
3	三十五	111	
3	三十丸	183	
3	三十四	112	
3	三十三	119	
3	三十片	133	
3	三十枚	388	
3	三十六	104	
3	三十粒	181	
3	三十个	190	
3	三十二	125	
3	三日死	154	
3	三日后	155	
3	三钱半	218	
3	三两炙	210	
3	三两切	131	
3	三两锉	115	
3	三两半	134	
3	三焦者	347	
3	三黄丸	219	
3	三分锉	526	
3	塞耳中	136	
3	若下之	358	
3	若呕者	191	
3	若剧者	152	
3	若灸者	229	
3	若发汗	191	
3	若此者	169	
3	润心肺	251	
3	润五脏	136	
3	软石膏	128	
3	入竹沥	115	
3	入生姜	111	
3	入麝香	132	
3	入缺盆	299	
3	入肝经	125	
3	入肺中	151	
3	入肺经	118	
3	乳食前	171	
3	如是者	235	
3	如圣散	116	
3	如疟状	124	
3	如豆大	118	
3	如此者	163	
3	如不愈	109	
3	如不应	484	
3	肉豆蔻	2410	
3	肉苁蓉	2272	
3	日再服	887	
3	日一服	267	
3	日三易	109	
3	日三四	137	
3	日三服	6343	
3	日三度	165	
3	日三次	354	
3	日华子	679	
3	日二服	1335	
3	日二次	201	
3	日1剂	186	
3	任脉通	121	
3	忍冬藤	133	
3	人中黄	270	
3	人中白	490	
3	人参汤	133	
3	人参散	130	
3	人参黄	110	
3	热甚者	158	
3	热伤气	154	
3	绕脐痛	152	
3	蚺蛇胆	148	
3	全当归	398	
3	去滓服	282	
3	去渣服	111	
3	去心焙	1003	
3	去土炒	120	
3	去头足	180	
3	去芍药	165	
3	去上沫	655	
3	去三虫	257	
3	去人参	270	
3	去皮子	123	
3	去皮心	245	
3	去皮弦	109	
3	去皮脐	1995	
3	去皮膜	107	
3	去皮尖	2866	
3	去皮核	151	
3	去苗叶	874	
3	去苗土	761	
3	去麻黄	273	
3	去芦头	4325	
3	去筋膜	140	
3	去火毒	116	
3	去黄芩	178	
3	去黑心	1229	
3	去黑皮	2420	
3	去根节	994	
3	去根锉	113	
3	去甘草	161	
3	去附子	165	
3	去风湿	106	
3	去恶气	122	
3	去大黄	118	
3	去粗皮	4171	
3	去翅足	317	
3	去半夏	265	
3	去白术	109	
3	去白瓤	112	
3	去白虫	123	
3	去白焙	231	
3	去巴豆	118	
3	取一升	151	
3	取五升	143	
3	取无时	117	
3	取微汗	116	
3	取头末	123	
3	取三升	354	
3	取二升	300	
3	瞿麦穗	313	
3	祛风湿	106	
3	求真按	1102	
3	清燥汤	101	
3	清胃散	177	
3	清头目	153	
3	青竹茹	254	
3	青葙子	621	
3	青木香	780	
3	青礞石	196	
3	青橘皮	1172	
3	切作片	123	
3	切一升	270	
3	切其脉	119	
3	蔷薇根	127	
3	强筋骨	258	
3	羌活汤	126	
3	羌活散	130	
3	芡实大	151	
3	钱氏云	131	
3	铅白霜	175	
3	牵牛子	563	
3	千金云	296	
3	千金翼	1187	
3	千金同	185	
3	千金方	3170	
3	气虚者	352	
3	气虚也	172	
3	气为阳	213	
3	气微温	275	
3	气微寒	300	
3	气厥论	103	
3	气大寒	106	
3	气不足	189	
3	麒麟竭	279	
3	歧伯曰	150	
3	奇病论	115	
3	其直者	346	
3	其支者	1428	
3	其味辛	163	
3	其味咸	118	
3	其味酸	141	
3	其味苦	171	
3	其味甘	186	
3	其色青	149	
3	其色黄	224	
3	其色黑	171	
3	其色赤	181	
3	其色白	219	
3	其脉弦	112	
3	其脉大	134	
3	其脉沉	109	
3	其别者	182	
3	岐伯曰	7269	
3	岐伯说	469	
3	七月采	102	
3	七十丸	171	
3	七日死	107	
3	七钱半	837	
3	七气汤	116	
3	普济方	975	
3	蒲公英	375	
3	破症结	135	
3	破症瘕	102	
3	破宿血	117	
3	破伤风	189	
3	破积聚	158	
3	破故纸	1121	
3	破八片	255	
3	平胃散	384	
3	漂白术	105	
3	片姜黄	140	
3	脾主肉	112	
3	脾欲缓	142	
3	脾虚也	102	
3	脾胃者	118	
3	脾胃论	176	
3	脾统血	183	
3	脾属土	156	
3	脾气虚	112	
3	脾恶湿	139	
3	脾病者	110	
3	枇杷叶	1486	
3	蓬莪术	779	
3	炮一两	148	
3	炮去皮	324	
3	炮裂锉	131	
3	炮姜炭	148	
3	炮半两	196	
3	膀胱者	405	
3	膀胱俞	110	
3	膀胱急	104	
3	呕吐者	122	
3	女贞子	425	
3	暖腰膝	215	
3	暖水脏	116	
3	脓已成	112	
3	浓杜仲	119	
3	浓肠胃	190	
3	牛黄丸	138	
3	牛蒡子	2055	
3	凝水石	242	
3	内诸药	663	
3	内芒硝	161	
3	内经云	300	
3	内经曰	672	
3	难经曰	176	
3	南沙参	121	
3	南木香	377	
3	耐寒暑	116	
3	纳诸药	375	
3	纳芒硝	122	
3	目直视	109	
3	目上视	123	
3	目不明	173	
3	目KT	191	
3	木猪苓	150	
3	木之木	141	
3	木贼草	144	
3	木香散	134	
3	木生火	163	
3	木防己	254	
3	木鳖子	790	
3	牡蛎粉	334	
3	牡丹皮	2950	
3	母丁香	244	
3	某医云	272	
3	命门者	141	
3	明雄黄	170	
3	明下云	106	
3	明天麻	130	
3	明耳目	312	
3	名医曰	103	
3	妙香散	131	
3	面糊丸	311	
3	面裹煨	353	
3	蜜为丸	225	
3	蜜丸服	114	
3	蜜和丸	228	
3	密陀僧	856	
3	密蒙花	298	
3	米饮下	1671	
3	米汤下	375	
3	米糊丸	130	
3	米泔浸	414	
3	孟英曰	244	
3	孟诜云	274	
3	门诊号	124	
3	每一丸	213	
3	每一钱	168	
3	每三钱	188	
3	每服一	215	
3	每服五	421	
3	每服四	147	
3	每服三	534	
3	每服二	338	
3	每二钱	361	
3	梅师方	451	
3	没石子	223	
3	蔓荆子	1779	
3	蔓荆实	223	
3	脉虚者	107	
3	脉弦者	136	
3	脉弦细	308	
3	脉弦数	305	
3	脉弦紧	138	
3	脉弦滑	210	
3	脉细数	240	
3	脉细弱	107	
3	脉细濡	682	
3	脉微细	219	
3	脉微弱	109	
3	脉实者	125	
3	脉经曰	121	
3	脉解篇	103	
3	脉滑数	302	
3	脉洪数	247	
3	脉洪大	352	
3	脉浮者	409	
3	脉浮数	330	
3	脉浮紧	537	
3	脉浮缓	168	
3	脉浮大	240	
3	脉大者	120	
3	脉沉者	389	
3	脉沉弦	149	
3	脉沉细	553	
3	脉沉微	183	
3	脉沉数	112	
3	脉沉实	110	
3	脉沉紧	190	
3	脉沉迟	225	
3	麦门冬	8214	
3	马牙硝	794	
3	马莳曰	1818	
3	马兜铃	461	
3	马齿苋	233	
3	马鞭草	158	
3	麻子仁	256	
3	麻子大	272	
3	麻仁丸	122	
3	麻黄汤	460	
3	麻黄根	470	
3	滤去滓	522	
3	滤去渣	273	
3	绿豆皮	105	
3	绿豆粉	283	
3	绿豆大	421	
3	绿茶3	417	
3	萝卜子	658	
3	罗为散	133	
3	罗为末	697	
3	论一首	131	
3	乱发灰	184	
3	露一宿	272	
3	露蜂房	532	
3	潞党参	101	
3	鹿角霜	391	
3	鹿角胶	577	
3	录验方	197	
3	颅囟经	134	
3	炉甘石	219	
3	芦荟丸	106	
3	龙眼肉	278	
3	龙胆草	1405	
3	六一散	259	
3	六味丸	408	
3	六日死	139	
3	六七日	181	
3	六和汤	135	
3	六腑者	140	
3	留五呼	154	
3	留十呼	201	
3	留三呼	566	
3	留七呼	842	
3	留六呼	219	
3	刘完素	188	
3	刘寄奴	385	
3	鲮鲤甲	129	
3	零陵香	336	
3	羚羊角	2249	
3	凌霄花	134	
3	灵苑方	110	
3	灵枢经	605	
3	临卧服	269	
3	寥笙注	130	
3	两头尖	196	
3	梁上尘	109	
3	凉膈散	490	
3	莨菪子	206	
3	炼蜜丸	1344	
3	炼蜜和	137	
3	连舌本	114	
3	连翘心	118	
3	连翘壳	103	
3	荔枝核	215	
3	利咽膈	105	
3	利胸膈	181	
3	利小肠	106	
3	利小便	1680	
3	利五脏	278	
3	利水道	522	
3	利九窍	413	
3	利关节	275	
3	利二便	129	
3	利大肠	179	
3	利肠胃	114	
3	利不止	241	
3	立斋曰	163	
3	立效散	113	
3	鲤鱼胆	131	
3	理中丸	205	
3	理中汤	959	
3	理阴煎	141	
3	里虚也	111	
3	李时珍	105	
3	李东垣	111	
3	冷即易	158	
3	雷公云	932	
3	雷公曰	431	
3	莱菔子	452	
3	来复丹	116	
3	栝蒌子	117	
3	栝蒌实	228	
3	栝蒌仁	807	
3	栝蒌皮	244	
3	栝蒌根	1676	
3	溃疡门	128	
3	款冬花	1347	
3	苦竹叶	143	
3	苦葶苈	188	
3	苦楝子	113	
3	苦楝根	130	
3	苦桔梗	279	
3	枯白矾	268	
3	口中和	175	
3	口不渴	278	
3	控涎丹	131	
3	恐伤肾	114	
3	空心服	2164	
3	空腹服	160	
3	可下之	357	
3	可发汗	229	
3	咳而呕	104	
3	柯韵伯	178	
3	柯琴曰	318	
3	亢则害	143	
3	开水下	111	
3	开腠理	225	
3	厥阴者	116	
3	厥阴病	113	
3	厥心痛	115	
3	厥头痛	118	
3	决明子	720	
3	绢袋盛	130	
3	举痛论	107	
3	橘皮汤	118	
3	桔梗汤	215	
3	就是说	135	
3	救急方	136	
3	酒一盏	203	
3	酒一升	114	
3	酒调下	465	
3	酒调服	501	
3	酒送下	114	
3	酒三升	133	
3	酒浸炒	130	
3	酒浸焙	133	
3	酒煎服	227	
3	酒黄芩	122	
3	酒糊丸	533	
3	酒服之	158	
3	酒二升	129	
3	酒半盏	178	
3	灸一壮	160	
3	灸五壮	1436	
3	灸三壮	3187	
3	灸七壮	820	
3	灸百壮	255	
3	久不愈	400	
3	久不已	125	
3	久不瘥	278	
3	九月采	157	
3	颈项强	177	
3	井泉石	105	
3	睛不和	133	
3	荆三棱	219	
3	荆芥穗	2297	
3	经验方	892	
3	经脉者	112	
3	经脉篇	263	
3	京三棱	1065	
3	茎中痛	178	
3	噤口痢	103	
3	禁忌證	113	
3	禁忌证	228	
3	浸一宿	334	
3	进饮食	504	
3	尽服之	104	
3	紧为寒	111	
3	筋惕肉	138	
3	金樱子	237	
3	金银花	1509	
3	金银箔	105	
3	金石斛	141	
3	金生水	134	
3	金铃子	364	
3	金匮云	108	
3	金匮翼	114	
3	今按∶	271	
3	解诸毒	105	
3	解热毒	160	
3	解酒毒	323	
3	洁古云	361	
3	节饮食	228	
3	皆难治	118	
3	皆可服	119	
3	皆不治	109	
3	搅令匀	340	
3	脚挛急	189	
3	绞去滓	530	
3	绞取汁	338	
3	焦山栀	112	
3	焦白术	107	
3	胶艾汤	104	
3	降真香	144	
3	降心火	137	
3	降香末	133	
3	姜汁炙	152	
3	姜汁制	211	
3	姜汁浸	116	
3	姜汁炒	1179	
3	姜枣引	142	
3	姜枣煎	108	
3	姜一片	310	
3	姜五片	985	
3	姜汤下	672	
3	姜十片	130	
3	姜三片	2847	
3	姜七片	290	
3	姜煎服	139	
3	姜附汤	125	
3	姜二片	263	
3	姜半夏	190	
3	健脾胃	198	
3	建中汤	369	
3	建泽泻	124	
3	见中风	114	
3	见虚损	105	
3	见发热	110	
3	简便方	244	
3	减二升	277	
3	煎一钟	399	
3	煎一盅	240	
3	煎一盏	593	
3	煎一碗	150	
3	煎一升	104	
3	煎五分	301	
3	煎汤服	107	
3	煎数沸	143	
3	煎七分	2979	
3	煎六分	595	
3	煎减半	114	
3	煎服法	381	
3	煎八分	2687	
3	肩背痛	194	
3	坚筋骨	404	
3	甲乙经	1292	
3	挟舌本	132	
3	加竹沥	124	
3	加枳实	210	
3	加枳壳	312	
3	加知母	244	
3	加杏仁	172	
3	加香附	166	
3	加细辛	108	
3	加五味	112	
3	加桃仁	233	
3	加石膏	268	
3	加生姜	302	
3	加生地	185	
3	加升麻	194	
3	加神曲	133	
3	加芍药	208	
3	加山栀	223	
3	加山楂	167	
3	加砂仁	163	
3	加乳香	111	
3	加肉桂	195	
3	加人参	929	
3	加青皮	163	
3	加羌活	364	
3	加炮姜	122	
3	加浓朴	132	
3	加牛膝	198	
3	加木香	369	
3	加木通	178	
3	加麦冬	300	
3	加麻黄	181	
3	加连翘	139	
3	加桔梗	190	
3	加荆芥	116	
3	加减法	244	
3	加藿香	121	
3	加黄芩	494	
3	加黄连	564	
3	加黄柏	224	
3	加桂枝	250	
3	加葛根	153	
3	加干姜	368	
3	加甘草	127	
3	加附子	397	
3	加茯苓	398	
3	加防风	284	
3	加丁香	139	
3	加当归	445	
3	加丹皮	122	
3	加大黄	447	
3	加川芎	330	
3	加陈皮	216	
3	加柴胡	544	
3	加苍术	228	
3	加贝母	123	
3	加半夏	460	
3	加白术	398	
3	加白芍	140	
3	加阿胶	139	
3	济生方	370	
3	忌猪肉	342	
3	忌羊肉	139	
3	忌铁器	158	
3	忌生冷	275	
3	忌生葱	194	
3	忌海藻	330	
3	蒺藜子	470	
3	集验方	562	
3	集效方	111	
3	集简方	311	
3	急治之	197	
3	急下之	607	
3	急温之	122	
3	即本方	176	
3	极要方	161	
3	鸡子黄	233	
3	鸡血藤	122	
3	鸡舌香	264	
3	鸡内金	307	
3	藿香叶	793	
3	或下利	114	
3	或问曰	142	
3	或为末	164	
3	或入丸	207	
3	或呕吐	117	
3	或干呕	118	
3	或腹痛	184	
3	或发热	109	
3	或不痛	101	
3	火生土	128	
3	火麻仁	231	
3	活人书	667	
3	蛔厥者	142	
3	黄药子	157	
3	黄芩汤	278	
3	黄明胶	107	
3	黄连汤	160	
3	黄连末	104	
3	黄帝曰	2952	
3	黄帝说	293	
3	黄帝道	222	
3	槐角子	101	
3	槐白皮	145	
3	淮山药	192	
3	淮牛膝	125	
3	淮南子	209	
3	怀生地	146	
3	怀山药	269	
3	怀牛膝	261	
3	化痰涎	161	
3	滑寿曰	203	
3	花蕊石	210	
3	花茶3	300	
3	琥珀散	140	
3	虎头骨	176	
3	虎潜丸	102	
3	虎胫骨	453	
3	葫芦巴	361	
3	胡桃肉	236	
3	胡桃仁	102	
3	胡芦巴	156	
3	胡黄连	1392	
3	后必溏	148	
3	红蓝花	186	
3	黑芝麻	134	
3	黑锡丹	138	
3	黑神散	150	
3	黑山栀	617	
3	黑牵牛	800	
3	黑附子	330	
3	鹤膝风	140	
3	和脾胃	135	
3	何以然	113	
3	何以故	111	
3	何谓也	859	
3	何首乌	1084	
3	合治之	105	
3	诃子肉	373	
3	诃子皮	214	
3	诃黎勒	964	
3	诃梨勒	104	
3	好颜色	158	
3	杭白芍	224	
3	旱莲草	253	
3	汗自出	180	
3	汗大泄	190	
3	汗出者	101	
3	汗出愈	165	
3	汗出多	113	
3	汗不止	123	
3	汗不出	539	
3	汉防己	718	
3	寒水石	1736	
3	寒胜热	134	
3	寒热者	102	
3	海桐皮	522	
3	海上方	232	
3	海螵蛸	489	
3	海金砂	146	
3	海金沙	294	
3	海蛤粉	128	
3	海藏云	330	
3	孩儿茶	175	
3	蛤粉炒	268	
3	郭璞云	230	
3	滚痰丸	158	
3	桂枝汤	563	
3	桂枝木	178	
3	鬼箭羽	305	
3	归脾汤	588	
3	广郁金	306	
3	广木香	508	
3	广利方	191	
3	广橘红	186	
3	广济方	155	
3	广陈皮	297	
3	广笔记	126	
3	光杏仁	373	
3	冠心病	104	
3	官拣参	159	
3	关寸大	221	
3	瓜蒂散	234	
3	故去之	129	
3	故名篇	147	
3	故经云	176	
3	故经曰	323	
3	骨碎补	666	
3	骨空论	108	
3	骨节痛	181	
3	谷精草	460	
3	谷不化	126	
3	古人云	255	
3	枸杞子	1410	
3	枸杞根	159	
3	钩藤钩	168	
3	共研细	121	
3	共研末	329	
3	共为末	1551	
3	公丁香	156	
3	各一字	106	
3	各一升	413	
3	各一钱	11628	
3	各一两	20383	
3	各一斤	366	
3	各一分	3459	
3	各细研	222	
3	各五钱	4496	
3	各五两	747	
3	各五分	4533	
3	各为末	252	
3	各四钱	589	
3	各四两	2556	
3	各四分	1096	
3	各十两	153	
3	各十分	120	
3	各少许	275	
3	各三钱	4078	
3	各三两	4625	
3	各三分	3568	
3	各钱半	528	
3	各七钱	362	
3	各七分	1238	
3	各六钱	278	
3	各六两	398	
3	各六分	951	
3	各两半	256	
3	各二钱	5306	
3	各二两	8260	
3	各二分	1135	
3	各等分	7462	
3	各半升	124	
3	各半钱	751	
3	各半两	10554	
3	各半斤	239	
3	各半分	203	
3	各八钱	227	
3	各八两	304	
3	各八分	1848	
3	葛氏方	527	
3	葛根汤	315	
3	隔纸炒	154	
3	高血压	176	
3	高良姜	928	
3	干虾蟆	118	
3	干生姜	245	
3	干山药	407	
3	干呕者	141	
3	干木瓜	217	
3	干即易	205	
3	干荷叶	119	
3	干地黄	1561	
3	肝主血	118	
3	肝主筋	496	
3	肝主风	114	
3	肝属木	257	
3	肝脉也	104	
3	肝苦急	152	
3	肝藏血	528	
3	肝藏魂	235	
3	肝病者	115	
3	甘松香	132	
3	甘杞子	117	
3	甘露饮	146	
3	甘菊花	1283	
3	甘桔汤	151	
3	甘草炙	140	
3	甘草汤	115	
3	甘草梢	383	
3	甘草节	600	
3	甘草3	121	
3	覆盆子	544	
3	腹中痛	684	
3	腹胀满	349	
3	腹为阴	183	
3	腹微满	139	
3	腹痛者	162	
3	腹满者	132	
3	复发汗	243	
3	复恶寒	116	
3	附子汤	190	
3	浮小麦	118	
3	浮而升	145	
3	茯苓丸	117	
3	茯苓汤	106	
3	茯苓皮	422	
3	服一丸	103	
3	服一升	306	
3	服一剂	151	
3	服药后	251	
3	服五合	103	
3	服三剂	102	
3	服二剂	126	
3	芙蓉叶	113	
3	伏龙肝	679	
3	敷患处	176	
3	敷疮上	209	
3	麸炒黄	157	
3	风化硝	142	
3	粉甘草	236	
3	粉丹皮	441	
3	分再服	446	
3	分阴阳	230	
3	分析一	189	
3	分五服	219	
3	分温服	203	
3	分四服	535	
3	分三服	2886	
3	分二服	791	
3	肺主气	737	
3	肺属金	225	
3	肺藏魄	159	
3	肥腠理	106	
3	飞滑石	203	
3	放温服	101	
3	防己黄	133	
3	防风汤	145	
3	方见前	611	
3	方见后	126	
3	范汪方	293	
3	反乌头	159	
3	反藜芦	268	
3	反甘草	164	
3	反发热	124	
3	反恶热	184	
3	烦躁者	161	
3	凡四物	117	
3	凡三物	111	
3	凡二物	108	
3	法半夏	332	
3	发热者	132	
3	发其汗	198	
3	发汗后	441	
3	发寒热	291	
3	发潮热	113	
3	二之气	311	
3	二十一	234	
3	二十五	185	
3	二十丸	153	
3	二十四	212	
3	二十三	209	
3	二十七	158	
3	二十片	112	
3	二十枚	558	
3	二十六	160	
3	二十两	121	
3	二十粒	180	
3	二十九	139	
3	二十个	268	
3	二十二	204	
3	二十八	166	
3	二三日	103	
3	二三钱	164	
3	二钱炒	110	
3	二钱半	2144	
3	二七枚	208	
3	二两炙	593	
3	二两锉	348	
3	二两炒	144	
3	二两半	940	
3	二剂愈	134	
3	二分半	186	
3	二陈汤	554	
3	恶皂荚	126	
3	恶寒者	253	
3	恶干姜	101	
3	恶风者	106	
3	恶风寒	253	
3	夺命丹	153	
3	顿服之	736	
3	短剧方	349	
3	独参汤	166	
3	督脉者	103	
3	斗门方	219	
3	冬十日	119	
3	冬桑叶	288	
3	冬葵子	553	
3	冬瓜子	373	
3	冬瓜仁	152	
3	东垣云	653	
3	东垣曰	478	
3	定志丸	105	
3	定魂魄	119	
3	丁香皮	158	
3	钓藤钩	101	
3	地为阴	130	
3	地气迁	108	
3	地黄汁	156	
3	地黄丸	298	
3	地骨皮	4143	
3	地肤子	484	
3	地鳖虫	109	
3	抵当汤	180	
3	滴水丸	117	
3	滴乳香	115	
3	得效方	205	
3	得酒良	148	
3	得火良	106	
3	捣为散	148	
3	捣为末	300	
3	捣如泥	143	
3	捣取汁	143	
3	导引法	144	
3	导痰汤	200	
3	导赤散	455	
3	当下之	586	
3	当温之	249	
3	当吐之	234	
3	当归须	110	
3	当归尾	638	
3	当归炭	102	
3	当归身	1207	
3	当归梢	217	
3	当归散	282	
3	当改之	124	
3	弹子大	299	
3	淡竹叶	1006	
3	淡竹茹	107	
3	淡吴萸	142	
3	淡黄芩	150	
3	淡干姜	254	
3	淡豆豉	296	
3	淡苁蓉	135	
3	但欲寐	198	
3	胆南星	144	
3	丹溪云	976	
3	丹溪曰	918	
3	丹皮炭	112	
3	戴思恭	133	
3	戴人曰	344	
3	代赭石	608	
3	大下后	127	
3	大熟地	329	
3	大生地	448	
3	大青叶	124	
3	大麦冬	196	
3	大麻子	136	
3	大麻仁	328	
3	大力子	150	
3	大茴香	183	
3	大汗出	299	
3	大腹子	193	
3	大腹皮	1944	
3	大附子	466	
3	大枫子	130	
3	大川芎	103	
3	大肠者	136	
3	大肠经	147	
3	大便硬	302	
3	大便溏	249	
3	大便难	691	
3	大便秘	510	
3	大便坚	144	
3	大便黑	207	
3	大便闭	166	
3	锉一两	306	
3	锉微炒	517	
3	锉三分	118	
3	锉二两	182	
3	锉半两	147	
3	醋炙黄	118	
3	醋糊丸	337	
3	粗捣筛	3905	
3	腠理开	369	
3	刺三分	267	
3	刺期门	168	
3	刺此者	114	
3	春生苗	385	
3	吹鼻中	115	
3	传信方	127	
3	穿山甲	1470	
3	川郁金	233	
3	川雅连	139	
3	川续断	356	
3	川乌头	760	
3	川石斛	283	
3	川升麻	1449	
3	川羌活	170	
3	川朴硝	354	
3	川牛膝	507	
3	川芒硝	355	
3	川楝子	1114	
3	川楝肉	114	
3	川黄连	565	
3	川黄柏	152	
3	川桂枝	275	
3	川独活	167	
3	川当归	237	
3	川大黄	2284	
3	川贝母	715	
3	楮实子	182	
3	杵为散	306	
3	杵为末	107	
3	除邪气	227	
3	除湿汤	104	
3	除寒热	171	
3	除风湿	108	
3	除烦热	162	
3	初之气	385	
3	出其端	147	
3	出火毒	287	
3	出本草	1632	
3	茺蔚子	700	
3	充皮肤	101	
3	充肌肤	102	
3	冲脉者	176	
3	赤小豆	1707	
3	赤石脂	2350	
3	赤芍药	5141	
3	赤茯苓	4976	
3	赤白苓	118	
3	赤白痢	211	
3	程知曰	167	
3	承气汤	226	
3	承乃制	147	
3	成注云	227	
3	成无己	112	
3	陈士铎	145	
3	陈橘皮	3206	
3	陈广皮	123	
3	陈胆星	123	
3	陈藏器	151	
3	陈仓米	106	
3	沉而降	124	
3	车前子	3216	
3	车前草	190	
3	炒竹茹	137	
3	炒枳壳	172	
3	炒栀子	194	
3	炒枣仁	258	
3	炒一钱	117	
3	炒一两	341	
3	炒烟尽	173	
3	炒杏仁	131	
3	炒为末	182	
3	炒微黄	151	
3	炒苏子	107	
3	炒山药	101	
3	炒去丝	161	
3	炒去角	174	
3	炒去刺	126	
3	炒黄色	201	
3	炒杭芍	124	
3	炒二两	192	
3	炒出汗	220	
3	炒半两	184	
3	炒白术	151	
3	炒白芍	327	
3	潮热者	112	
3	巢氏云	146	
3	常氏云	196	
3	缠喉风	123	
3	茶清下	134	
3	侧柏叶	461	
3	草之草	325	
3	草乌头	521	
3	草木类	139	
3	草龙胆	366	
3	草决明	467	
3	草果仁	352	
3	草豆蔻	1222	
3	苍耳子	350	
3	参苏饮	282	
3	参三七	106	
3	参附汤	120	
3	采无时	650	
3	布胁肋	112	
3	不作脓	114	
3	不知人	141	
3	不欲食	388	
3	不宜用	156	
3	不下食	365	
3	不思食	161	
3	不嗜食	375	
3	不去节	136	
3	不能言	135	
3	不能卧	131	
3	不能食	899	
3	不渴者	144	
3	不可治	469	
3	不可用	277	
3	不可下	858	
3	不可吐	111	
3	不可食	311	
3	不可忍	164	
3	不可灸	109	
3	不可汗	170	
3	不可服	164	
3	不拘时	2374	
3	不结胸	107	
3	不见火	945	
3	不计时	230	
3	不急治	146	
3	不灰木	127	
3	不过三	119	
3	不恶寒	694	
3	不得已	139	
3	不得息	167	
3	不得卧	516	
3	不得眠	304	
3	不得汗	186	
3	不大便	274	
3	补虚损	161	
3	补虚劳	154	
3	补五脏	286	
3	补肾气	127	
3	补脾胃	129	
3	补骨脂	1138	
3	补不足	403	
3	博物志	193	
3	博济方	175	
3	伯高曰	253	
3	病在中	218	
3	病在外	290	
3	病在内	134	
3	病源论	787	
3	病益甚	119	
3	并治之	109	
3	并细研	114	
3	别录云	196	
3	便脓血	138	
3	扁鹊云	135	
3	扁鹊曰	121	
3	编者按	689	
3	蓖麻子	362	
3	荜澄茄	421	
3	必自愈	194	
3	必效方	120	
3	彼不信	146	
3	比方说	231	
3	本事方	562	
3	本神篇	132	
3	本草云	137	
3	焙为末	114	
3	焙干用	143	
3	背为阳	123	
3	背恶寒	112	
3	备急方	108	
3	北细辛	332	
3	北五味	395	
3	北沙参	501	
3	北防风	129	
3	北柴胡	219	
3	抱朴子	292	
3	抱龙丸	147	
3	保元汤	120	
3	保命集	197	
3	保和丸	216	
3	薄荷叶	737	
3	半夏汤	115	
3	半夏曲	916	
3	半两炙	219	
3	半两研	167	
3	半两炮	136	
3	半两锉	528	
3	半两炒	118	
3	板蓝根	219	
3	败龟板	112	
3	败毒散	222	
3	柏子仁	1973	
3	百一方	115	
3	百药煎	286	
3	百合病	179	
3	百草霜	610	
3	白云苓	108	
3	白藓皮	711	
3	白鲜皮	172	
3	白芜荑	204	
3	白头翁	443	
3	白通汤	140	
3	白汤下	904	
3	白檀香	248	
3	白水煎	129	
3	白术散	279	
3	白石脂	503	
3	白石英	455	
3	白芍药	4315	
3	白牵牛	263	
3	白茅根	465	
3	白龙骨	458	
3	白蔻仁	323	
3	白菊花	164	
3	白芥子	849	
3	白胶香	342	
3	白僵蚕	1860	
3	白蒺藜	1695	
3	白话解	339	
3	白花蛇	445	
3	白虎汤	615	
3	白归身	111	
3	白附子	2514	
3	白茯神	226	
3	白茯苓	8523	
3	白矾灰	142	
3	白豆蔻	1024	
3	白丁香	389	
3	白槟榔	146	
3	白扁豆	646	
3	巴戟天	886	
3	巴戟肉	121	
3	巴豆霜	302	
3	八正散	201	
3	八珍汤	547	
3	八月采	329	
3	八味丸	502	
3	八日死	101	
3	熬成膏	231	
3	案例一	221	
3	案例二	143	
3	按之痛	120	
3	按之濡	157	
3	安息香	514	
3	安五脏	602	
3	安神丸	137	
3	安魂魄	186	
3	阿胶珠	205	
3	x主方	251	
3	x朱砂	221	
3	x治瘰	217	
3	x治风	163	
3	x枳实	120	
3	x枳壳	185	
3	x知母	125	
3	x皂荚	131	
3	x芫花	123	
3	x又方	7033	
3	x一方	102	
3	x雄黄	357	
